epoch,train_loss,val_loss
0,0.10917536243030222,0.053297318518161774
1,0.06298911956481272,0.058155640959739685
2,0.061775576572261924,0.05107558146119118
3,0.05838661918603363,0.05177457630634308
4,0.05744915778789392,0.050914499908685684
5,0.05539863502036943,0.04987870156764984
6,0.05313320392814577,0.05526144430041313
7,0.05598812556052269,0.053772151470184326
8,0.05491659352627695,0.04943861812353134
9,0.05460602722123534,0.04926074296236038
10,0.05372296968968178,0.0481419675052166
11,0.0513068679384983,0.04744929075241089
12,0.04921829598000546,0.04684941843152046
13,0.04775535581025336,0.0503765344619751
14,0.047192443842140136,0.050362031906843185
15,0.046293939131008016,0.05011816695332527
16,0.04717848515066206,0.04631858691573143
17,0.046529858796869265,0.04756486415863037
18,0.051256551878924236,0.046147119253873825
19,0.04581084395196183,0.04496491700410843
20,0.04595072476485394,0.04524150490760803
21,0.04222152433848932,0.04546766355633736
22,0.044410259833985555,0.043752096593379974
23,0.04620360757360728,0.0499093122780323
24,0.04358552675694227,0.046666208654642105
25,0.04514192148162038,0.04490960016846657
26,0.04149327730247631,0.0451987162232399
27,0.04278689797172816,0.04626762866973877
28,0.0422875109705643,0.046766247600317
29,0.04264118554487173,0.04255431145429611
30,0.03978988244305999,0.04232317954301834
31,0.03805153019209141,0.04157453775405884
32,0.03967182212305712,0.04317530244588852
33,0.0386871803925399,0.04524848237633705
34,0.03766794428277215,0.042014285922050476
35,0.04266938889413536,0.0435556098818779
36,0.040253512010667805,0.042674124240875244
37,0.038264794083632966,0.041737623512744904
38,0.03986578938433934,0.0420076809823513
39,0.03959885660013074,0.04188522323966026
40,0.037975960245935345,0.04236607253551483
41,0.037776071755431,0.04120105504989624
42,0.04148428971402749,0.048180628567934036
43,0.04138298392066,0.04449973255395889
44,0.037791015786193025,0.042554207146167755
45,0.03967142575312703,0.043849218636751175
46,0.039634290804899754,0.044550083577632904
47,0.039142457255973914,0.04341315105557442
48,0.03718402338211824,0.043286893516778946
49,0.03964381191908241,0.0421789214015007
50,0.038404313105237516,0.04249546304345131
51,0.03892952234395672,0.04279528558254242
52,0.038795613441951475,0.04344372823834419
53,0.0372397598037185,0.042611487209796906
54,0.03755685371516756,0.04322057589888573
55,0.04137200006022858,0.04178392142057419
56,0.03822158813323337,0.04151102900505066
57,0.03865126188566721,0.04091877117753029
58,0.03729015332107985,0.04581375792622566
59,0.0388443277320396,0.04153072088956833
60,0.036650602128787645,0.04048609733581543
61,0.03653624980377661,0.0399002879858017
62,0.03698744552071113,0.04018468037247658
63,0.036456676171302486,0.0407031774520874
64,0.036572756073353835,0.03997255489230156
65,0.03589104097767477,0.04075094312429428
66,0.036317644468424864,0.043679770082235336
67,0.042988983112217376,0.04310602322220802
68,0.035550961050667004,0.038435641676187515
69,0.037812275912583945,0.04316336661577225
70,0.0451294801444543,0.046270668506622314
71,0.046796157764591714,0.04444187879562378
72,0.04003763269719244,0.041611384600400925
73,0.03791707417278869,0.04232035577297211
74,0.04107885955231968,0.04197985306382179
75,0.042136597727212316,0.03858482092618942
76,0.038622987894748356,0.04060976579785347
77,0.03751548808690515,0.04325420781970024
78,0.037133791778418586,0.041447609663009644
79,0.03759261222608905,0.040846388787031174
80,0.03715170309388086,0.04132138937711716
81,0.040930552805527314,0.04109731689095497
82,0.03500944903182646,0.04107442498207092
83,0.03764358245717376,0.03990095108747482
84,0.03716113115002456,0.038724154233932495
85,0.03593674554922893,0.039015982300043106
86,0.03377994769049334,0.0388958565890789
87,0.03494309019153713,0.04194561392068863
88,0.034619005291619764,0.04155561700463295
89,0.0345097353303647,0.04042617604136467
90,0.036035531696056645,0.041193511337041855
91,0.03604271113489465,0.04023582488298416
92,0.032407553267969263,0.03870943561196327
93,0.038267282960615615,0.043187253177165985
94,0.033587769430446744,0.03802300617098808
95,0.03403288810717416,0.0390845462679863
96,0.03535639373753172,0.038849227130413055
97,0.033428308360067924,0.03998356685042381
98,0.03434152018211801,0.03917137533426285
99,0.03728433914846504,0.03794363513588905
