epoch,train_loss,val_loss
0,3262.4339761005876,2778.320556640625
1,2299.105019567621,1322.8056640625
2,1045.3931043685259,948.4345703125
3,1018.2096437138108,777.7039794921875
4,902.7506027363754,833.7491455078125
5,889.7511428463614,773.5143432617188
6,876.2533565926152,773.9156494140625
7,861.6862511093168,776.4696655273438
8,868.560971961563,771.1530151367188
9,869.1798660590883,770.8482055664062
10,859.7142111211738,769.458984375
11,863.4727167168587,769.6390380859375
12,859.7533084009834,767.8624267578125
13,856.2118804192854,766.9652709960938
14,860.0336074118729,766.2506103515625
15,857.507774310405,767.8101806640625
16,857.0392171905916,763.6358642578125
17,855.2434606001585,762.595947265625
18,852.6667599811234,760.8428344726562
19,856.6292122782276,759.7592163085938
20,844.0416493904213,757.6508178710938
21,848.4965656642808,757.6207885742188
22,840.36020346416,752.9973754882812
23,838.8402304196491,751.1221923828125
24,830.1101502715098,748.8677978515625
25,833.7646537794969,746.4669799804688
26,831.6639754368163,743.257568359375
27,824.5696936239743,740.7200927734375
28,815.2950328066806,739.5206909179688
29,812.6726411787491,737.0843505859375
30,799.5776296718604,733.363037109375
31,787.2171626312995,725.9285278320312
32,796.7146402994791,724.416015625
33,787.2237185117697,719.6709594726562
34,767.832500777431,712.4464721679688
35,780.9158924180924,709.6773071289062
36,767.7621770251396,703.348876953125
37,757.5450225773249,702.459716796875
38,747.6520295951176,690.3093872070312
39,737.5392692466465,683.4038696289062
40,727.5584820227028,683.43212890625
41,716.8530292759616,670.3045043945312
42,702.1135915404592,668.5277709960938
43,705.2032295667482,672.063232421875
44,681.7719211684924,656.5493774414062
45,686.2808069552345,647.500244140625
46,684.3575023459323,642.7296142578125
47,658.2097716944178,640.0414428710938
48,659.6691584240791,633.1087036132812
49,665.9269418272448,655.6788940429688
50,663.9162393069134,630.8788452148438
51,657.1808359156773,668.1738891601562
52,679.3434433466451,618.5999145507812
53,666.8905853328314,621.9825439453125
54,656.1886275023278,618.65625
55,644.9579429129204,720.6845092773438
56,677.0169315160542,627.365234375
57,650.4878794636362,607.9010620117188
58,624.5524862562922,603.8950805664062
59,616.1177763699153,603.7909545898438
60,649.7481291644845,605.8920288085938
61,602.4700275328794,598.7200317382812
