index,reactant,reagent,product,catalyst,ethanol_sty,time_h,temperature_c,pressure_bar,h2_co_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset,styha_g_h_gcat,ha_c2_fraction,co_conversion,selectivity_co2,selectivity_ch4,selectivity_meoh,selectivity_ha,xrf_zr,xrf_cu,xrf_co,xrf_fe
phase_1_seed-row012-exp12,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Zr].[Zr],0.013543971250322084,1.0,260.0,50.0,2.0,24000.0,3,71.7,zenodo_11639494_phase_1_seed,0.3099237243048234,0.04370098249400553,0.552869756182372,0.24323352266962037,0.14715461003952354,0.042388487169464584,0.08211915768531076,0.11900000000000001,0.16399999999999998,0.0,0.7170000000000001
phase_1_seed-row013-exp13,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Zr].[Zr].[Zr],0.0,1.0,260.0,50.0,2.0,24000.0,2,85.1,zenodo_11639494_phase_1_seed,0.0,0.0,0.9292598428935858,0.20360679142749563,0.2871370448630831,0.0,0.0,0.149,0.0,0.851,0.0
phase_1_seed-row014-exp14,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.0049335534118598,1.0,260.0,50.0,2.0,24000.0,3,70.0,zenodo_11639494_phase_1_seed,0.09025706687477954,0.05466113161758837,0.10772948768543308,0.014021174078706898,0.4160031029918126,0.0418104708584409,0.0945770399221841,0.122,0.17800000000000002,0.7,0.0
phase_1_seed-row015-exp15,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.004213970829927051,1.0,260.0,50.0,2.0,24000.0,3,57.4,zenodo_11639494_phase_1_seed,0.08679755433449977,0.04854941895813424,0.127249106320723,0.026435153697167445,0.36080127606762097,0.029696777983919412,0.0829916329242193,0.121,0.305,0.574,0.0
phase_1_seed-row016-exp16,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.003670476174036408,1.0,260.0,50.0,2.0,24000.0,3,45.8,zenodo_11639494_phase_1_seed,0.09152955995375728,0.04010153851816629,0.1545339023637053,0.0417037927345316,0.3042350769795664,0.022358411458615387,0.07308248119914268,0.10400000000000001,0.45799999999999996,0.43799999999999994,0.0
phase_1_seed-row017-exp17,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.0038002404164222837,1.0,260.0,50.0,2.0,24000.0,3,61.7,zenodo_11639494_phase_1_seed,0.08263765947277066,0.04598678666201181,0.1269291892551781,0.026235350860207122,0.3182709661729719,0.023195643955740013,0.08018548644466372,0.11800000000000001,0.617,0.265,0.0
phase_1_seed-row018-exp18,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.003957848976348999,1.0,260.0,50.0,2.0,24000.0,3,71.1,zenodo_11639494_phase_1_seed,0.08336841659880466,0.047474201116178415,0.10489081753209377,0.030917723940465314,0.28395223033692707,0.019068537349433656,0.08709341487158243,0.11699999999999999,0.711,0.172,0.0
phase_1_seed-row019-exp19,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Zr].[Zr],0.025219049057229263,1.0,260.0,50.0,2.0,24000.0,3,78.4,zenodo_11639494_phase_1_seed,0.3242487277204361,0.07777686356559235,0.3618577969302045,0.14710969074648003,0.20879499613753408,0.06758030697371938,0.13270017219287666,0.114,0.0,0.102,0.784
phase_1_seed-row020-exp20,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Zr].[Zr].[Zr].[Zr],0.011419083222434671,1.0,260.0,50.0,2.0,24000.0,2,81.3,zenodo_11639494_phase_1_seed,0.21890407233120288,0.052164782047350616,0.33939242252019214,0.16883858096404636,0.15640509006160097,0.03891921568075986,0.09220001798407164,0.187,0.0,0.0,0.813
phase_1_seed-row021-exp21,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr],0.0031551483968644085,1.0,260.0,50.0,2.0,24000.0,3,48.5,zenodo_11639494_phase_1_seed,0.06357624114364052,0.049627790824183,0.08248368447762537,0.030699136764842278,0.360946357022617,0.03760866774662988,0.08231306121020582,0.064,0.451,0.485,0.0
