index,reactant,reagent,product,catalyst,methanol_sty,time_h,temperature_c,pressure_bar,h2_co2_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
themecat-359,O=C=O,[H][H],CO,[In].[Co],0.2019,1.0,239.85000000000002,40.0,3.0,23.04,2.0,61.0,themecat
themecat-360,O=C=O,[H][H],CO,[In].[Co],0.2212,1.0,254.85000000000002,40.0,3.0,23.04,2.0,61.0,themecat
themecat-361,O=C=O,[H][H],CO,[In].[Co],0.237,1.0,269.85,40.0,3.0,23.04,2.0,61.0,themecat
themecat-362,O=C=O,[H][H],CO,[In].[Co],0.232,1.0,284.85,40.0,3.0,23.04,2.0,61.0,themecat
themecat-363,O=C=O,[H][H],CO,[In].[Co],0.2365,1.0,299.85,40.0,3.0,23.04,2.0,61.0,themecat
themecat-364,O=C=O,[H][H],CO,[In].[Co].[K],0.064,1.0,239.85000000000002,40.0,3.0,23.04,3.0,56.9,themecat
themecat-365,O=C=O,[H][H],CO,[In].[Co].[K],0.0794,1.0,254.85000000000002,40.0,3.0,23.04,3.0,57.9,themecat
themecat-366,O=C=O,[H][H],CO,[In].[Co].[K],0.0823,1.0,269.85,40.0,3.0,23.04,3.0,58.9,themecat
themecat-367,O=C=O,[H][H],CO,[In].[Co].[K],0.0951,1.0,284.85,40.0,3.0,23.04,3.0,59.9,themecat
themecat-368,O=C=O,[H][H],CO,[In].[Co].[K],0.099,1.0,299.85,40.0,3.0,23.04,3.0,60.9,themecat
themecat-369,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.1239,1.0,239.85000000000002,30.0,3.0,3.6,3.0,65.0,themecat
themecat-370,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.0418,1.0,239.85000000000002,30.0,3.0,3.6,3.0,65.0,themecat
themecat-371,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.0671,1.0,239.85000000000002,30.0,3.0,3.6,3.0,65.0,themecat
themecat-372,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.1113,1.0,239.85000000000002,30.0,3.0,3.6,3.0,65.0,themecat
themecat-373,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.0908,1.0,239.85000000000002,30.0,3.0,3.6,3.0,65.0,themecat
themecat-374,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.0207,1.0,239.85000000000002,30.0,3.0,3.6,3.0,65.0,themecat
themecat-375,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.0615,1.0,239.85000000000002,30.0,3.0,3.6,3.0,65.0,themecat
