index,reactant,reagent,product,catalyst,ethanol_sty,time_h,temperature_c,pressure_bar,h2_co_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
Phase 1 seed-18,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.003957848976348999,1.0,260.0,50.0,2.0,24000.0,3,71.1,zenodo_11639494_phase_1_seed
Phase 1 seed-19,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Zr].[Zr],0.025219049057229263,1.0,260.0,50.0,2.0,24000.0,3,78.4,zenodo_11639494_phase_1_seed
Phase 1 seed-20,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Zr].[Zr].[Zr].[Zr],0.011419083222434671,1.0,260.0,50.0,2.0,24000.0,2,81.3,zenodo_11639494_phase_1_seed
Phase 1 seed-21,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr],0.0031551483968644085,1.0,260.0,50.0,2.0,24000.0,3,48.5,zenodo_11639494_phase_1_seed
Phase 1 seed-22,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr],0.006127766730801117,1.0,260.0,50.0,2.0,24000.0,3,42.6,zenodo_11639494_phase_1_seed
Phase 1 seed-23,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.003602390515241766,1.0,260.0,50.0,2.0,24000.0,3,38.5,zenodo_11639494_phase_1_seed
Phase 1 seed-24,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu],0.007127317467509379,1.0,260.0,50.0,2.0,24000.0,2,67.8,zenodo_11639494_phase_1_seed
Phase 1 seed-25,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr],0.010280980001741769,1.0,260.0,50.0,2.0,24000.0,3,63.800000000000004,zenodo_11639494_phase_1_seed
Phase 1 seed-26,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr],0.014817152993205001,1.0,260.0,50.0,2.0,24000.0,3,56.99999999999999,zenodo_11639494_phase_1_seed
Phase 1 seed-27,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co],0.01998937472232723,1.0,260.0,50.0,2.0,24000.0,2,78.0,zenodo_11639494_phase_1_seed
Phase 1 seed-28,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Zr],0.02047827617714671,1.0,260.0,50.0,2.0,24000.0,3,74.2,zenodo_11639494_phase_1_seed
Phase 1 seed-29,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Zr].[Zr].[Zr].[Zr],0.02301900254073349,1.0,260.0,50.0,2.0,24000.0,3,62.1,zenodo_11639494_phase_1_seed
Phase 1 seed-30,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.010294173838220093,1.0,260.0,50.0,2.0,24000.0,3,44.2,zenodo_11639494_phase_1_seed
Phase 1 seed-31,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.0027580871746108867,1.0,260.0,50.0,2.0,24000.0,3,41.4,zenodo_11639494_phase_1_seed
Phase 1-1,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.012637674686273583,1.0,260.0,50.0,2.0,24000.0,4,47.8,zenodo_11639494_phase_1
Phase 1-2,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.010420837442887005,1.0,260.0,50.0,2.0,24000.0,4,48.0,zenodo_11639494_phase_1
Phase 1-3,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.022878602974297592,1.0,260.0,50.0,2.0,24000.0,4,42.1,zenodo_11639494_phase_1
Phase 1-4,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.021982762063089467,1.0,260.0,50.0,2.0,24000.0,4,46.5,zenodo_11639494_phase_1
Phase 1-5,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr].[Zr],0.023133695730584294,1.0,260.0,50.0,2.0,24000.0,4,40.1,zenodo_11639494_phase_1
Phase 1-6,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr].[Zr],0.02690523925232553,1.0,260.0,50.0,2.0,24000.0,4,60.5,zenodo_11639494_phase_1
Phase 1-1,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.004098912314113585,1.0,260.0,50.0,2.0,24000.0,4,62.38071000000001,zenodo_11639494_phase_1
Phase 1-2,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr],0.004501406388690232,1.0,260.0,50.0,2.0,24000.0,4,35.663415,zenodo_11639494_phase_1
Phase 1-3,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr],0.009811894676031234,1.0,260.0,50.0,2.0,24000.0,4,27.919005,zenodo_11639494_phase_1
Phase 1-4,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.013378224177811312,1.0,260.0,50.0,2.0,24000.0,4,34.318664999999996,zenodo_11639494_phase_1
Phase 1-5,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Zr].[Zr].[Zr],0.026614344366458213,1.0,260.0,50.0,2.0,24000.0,4,59.68357000000001,zenodo_11639494_phase_1
Phase 1-6,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr],0.028001302460081666,1.0,260.0,50.0,2.0,24000.0,4,60.509119999999996,zenodo_11639494_phase_1
Phase 1-1,[C-]#[O+],[H][H],CCO,[Fe].[Co].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.0008453821841182838,1.0,260.0,50.0,2.0,24000.0,4,84.60363000000001,zenodo_11639494_phase_1
Phase 1-2,[C-]#[O+],[H][H],CCO,[Fe].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.0009309876634804376,1.0,260.0,50.0,2.0,24000.0,4,49.922045,zenodo_11639494_phase_1
Phase 1-3,[C-]#[O+],[H][H],CCO,[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.00856537066571897,1.0,260.0,50.0,2.0,24000.0,4,51.380534999999995,zenodo_11639494_phase_1
